"lon","lat","WMO ID","Deployment IDs","Hull","Start current deployment","Start of real-time data","Transmission Status","Location","Buoy Latitude","Buoy Longitude","Surveyed Water Depth (m)","BPR Latitude","BPR Longitude","PAROS Returned Depth (m)","Ocean Designator","Primary GTS ID","Secondary GTS ID","Last Service Date","Date Station Established","Trigger Threshold (mm)","Generation","Primary Transmitter ID","Secondary Transmitter ID","Clock Offset (sec)","PAROS Serial Number","Buoy/BPR Firmware"
-68.2172222222222,15.2522222222222,"42407","42407_20140528","2.6D78","2014-05-28","2014-05-28 22:52:33","Transmitting","230 NM South of San Juan, PR","15° 15' 8"" N","68° 13' 2"" W","4499","15° 15' 6"" N","68° 13' 52"" W","4491","A2","DD42407P","DD42407S","2014-05-28","2006-03-14","30","2.1","B07P","B07S"," ","120091","2.39/2.78"
-89.2647222222222,25.8675,"42409","42409_20151019","STB01","2015-10-29","2015-10-29 23:21:45","Transmitting","300 NM Southeast of New Orleans, LA","25° 52' 3"" N","89° 15' 53"" W","3100","25° 52' 3"" N","89° 15' 54"" W","3162","A7","DD42409P","DD42409S","2015-10-29","2008-12-16"," ","2.1","B09P","B09S"," ","130630","2.39/2.78"
-106.997222222222,16.0255555555556,"43412","43412_20160312","2.6D27","2016-03-12","2016-03-12 03:15:33","Transmitting","240 NM Southwest of Manzanillo, Mexico","16° 1' 32"" N","106° 59' 50"" W","3065","16° 1' 12"" N","106° 59' 21"" W","3007","P6","DD43412P","DD43412S","2016-03-12","2007-03-20","30","2.1","C12P","C12S"," ","117761","2.39/2.78"
-100.136666666667,10.8416666666667,"43413","43413_20160314","2.6D60","2016-03-14","2016-03-14 18:15:14","Transmitting","360 NM South-Southwest of Acapulco, Mexico","10° 50' 30"" N","100° 8' 12"" W","3560","10° 50' 10"" N","100° 8' 24"" W","3508","P2","DD43413P","DD43413S","2016-03-14","2007-02-21","30","2.1","C13P","C13S"," ","129575","2.39/2.78"
-50.03,37.5916666666667,"44401","44401_20160418","2.6D73","2016-04-18","2016-04-18 18:15:20","No Tx Manually Set","790 NM NE of Bermuda","37° 35' 30"" N","50° 1' 48"" W","5492","37° 36' 12"" N","50° 3' 36"" W","5389","A4","DD44401P","DD44401S","2016-04-18","2007-06-22","30","2.1","DA1P","DA1S"," ","129482","2.39/2.78"
-70.6594444444444,39.2980555555556,"44402","44402_20160424","2.6D46","2016-04-24","2016-04-24 02:15:39","Transmitting","136 NM SE of Fire Island, NY","39° 17' 53"" N","70° 39' 34"" W","2649","39° 17' 48"" N","70° 39' 12"" W","2616","A5","DD44402P","DD44402S","2016-04-24","2007-08-28","30","2.1","D02P","D02S"," ","114427","2.39/2.78"
-164.071111111111,51.02,"46402","46402_20151001","2.6D31","2015-10-01","2015-10-01 13:15:44","Transmitting","240 NM South of Dutch Harbor, AK","51° 1' 12"" N","164° 4' 16"" W","4770","51° 1' 29"" N","164° 4' 0"" W","4729","P14","DD46402P","DD46402S","2015-10-01","2003-05-24","30","2.1","F02P","F02S"," ","130609","2.39/2.78"
-156.946666666667,52.665,"46403","46403_20160705","2.6D41","2016-07-06","2016-07-06 01:15:06","Transmitting","230 NM Southeast of Shumagin Island, AK","52° 39' 54"" N","156° 56' 48"" W","4537","52° 40' 0"" N","156° 56' 42"" W","4508","P12","DD46403P","DD46403S","2016-07-06","2002-12-06","30","2.1","F03P","F03S"," ","120082","2.39/2.78"
-128.736388888889,45.8569444444444,"46404","46404_20150309","2.6D32","2015-03-09","2015-03-09 00:45:24","Transmitting","230 NM West of Astoria, OR","45° 51' 25"" N","128° 44' 11"" W","2792","45° 50' 59"" N","128° 44' 40"" W","2738","P9","DD46404P","DD46404S","2015-03-09","2002-12-06","30","2.1","F04P","F04S"," ","117760","2.39/2.78"
-128.831666666667,42.6816666666667,"46407","46407_20160620","2.6D03","2016-06-20","2016-06-20 19:15:04","Transmitting","210 NM West of Coos Bay, OR","42° 40' 54"" N","128° 49' 54"" W","3323","42° 40' 42"" N","128° 49' 48"" W","3269","P8","DD46407P","DD46407S","2016-06-20","2007-12-08","30","2.1","F07P","F07S"," ","100880","2.39/2.78"
