"time","stage"
20760,-0.003328
20790,0.005439
20820,0.022851
20850,0.040122
20880,0.046937
20910,0.055759
20940,0.070122
20970,0.062585
21000,0.044691
21030,0.036985
21060,0.026522
21090,0.00259400000000001
21120,-0.025345
21150,-0.049213
21180,-0.057251
21210,-0.054837
21240,-0.031953
21270,0.010664
21300,0.06278
21330,0.11126
21360,0.158721
21390,0.199152
21420,0.22926
21450,0.237353
21480,0.212954
21510,0.15623
21540,0.087183
21570,0.023241
21600,-0.036122
21630,-0.103546
21660,-0.163426
21690,-0.19072
21720,-0.215559
21750,-0.233023
21780,-0.244956
21810,-0.241822
21840,-0.219457
21870,-0.185357
21900,-0.144298
21930,-0.102924
21960,-0.056522
21990,-0.008378
22020,0.039537
22050,0.071169
22080,0.090726
22110,0.110929
22140,0.120082
22170,0.127637
22200,0.133326
22230,0.139543
22260,0.142071
22290,0.125431
22320,0.109011
22350,0.089825
22380,0.045269
22410,0.013681
22440,-0.021207
22470,-0.062988
22500,-0.109117
22530,-0.150127
22560,-0.172617
22590,-0.197772
22620,-0.208158
22650,-0.209438
22680,-0.203352
22710,-0.193527
22740,-0.179015
22770,-0.172904
22800,-0.155914
22830,-0.127992
22860,-0.099801
22890,-0.073305
22920,-0.046798
22950,-0.00362299999999999
22980,0.045089
23010,0.09105
23040,0.122649
23070,0.151131
23100,0.167631
23130,0.158945
23160,0.15083
23190,0.138656
23220,0.127158
23250,0.112685
23280,0.094117
23310,0.060748
23340,0.024163
23370,-0.018642
